cp,city,age,year,total
50020,Alhama de Aragón,18 años,2016,14
50021,Almochuel,0 años,2016,0.0
50021,Almochuel,1 año,2016,0.0
50021,Almochuel,2 años,2016,0.0
50021,Almochuel,3 años,2016,0.0
50021,Almochuel,4 años,2016,0.0
50021,Almochuel,5 años,2016,0.0
50021,Almochuel,6 años,2016,0.0
50021,Almochuel,7 años,2016,0.0
50021,Almochuel,8 años,2016,0.0
50021,Almochuel,9 años,2016,0.0
50021,Almochuel,10 años,2016,0.0
50021,Almochuel,11 años,2016,0.0
50021,Almochuel,12 años,2016,0.0
50021,Almochuel,13 años,2016,0.0
50021,Almochuel,14 años,2016,0.0
50021,Almochuel,15 años,2016,0.0
50021,Almochuel,16 años,2016,0.0
50021,Almochuel,17 años,2016,0.0
50021,Almochuel,18 años,2016,0.0
50022,Almolda La,0 años,2016,3
50022,Almolda La,1 año,2016,4
50022,Almolda La,2 años,2016,1
50022,Almolda La,3 años,2016,1
50022,Almolda La,4 años,2016,0.0
50022,Almolda La,5 años,2016,0.0
50022,Almolda La,6 años,2016,2
50022,Almolda La,7 años,2016,3
50022,Almolda La,8 años,2016,2
50022,Almolda La,9 años,2016,4
50022,Almolda La,10 años,2016,1
50022,Almolda La,11 años,2016,1
50022,Almolda La,12 años,2016,2
50022,Almolda La,13 años,2016,3
50022,Almolda La,14 años,2016,5
50022,Almolda La,15 años,2016,4
50022,Almolda La,16 años,2016,4
50022,Almolda La,17 años,2016,8
50022,Almolda La,18 años,2016,4
50023,Almonacid de la Cuba,0 años,2016,1
50023,Almonacid de la Cuba,1 año,2016,0.0
50023,Almonacid de la Cuba,2 años,2016,0.0
50023,Almonacid de la Cuba,3 años,2016,0.0
50023,Almonacid de la Cuba,4 años,2016,0.0
50023,Almonacid de la Cuba,5 años,2016,0.0
50023,Almonacid de la Cuba,6 años,2016,1
50023,Almonacid de la Cuba,7 años,2016,1
50023,Almonacid de la Cuba,8 años,2016,1
50023,Almonacid de la Cuba,9 años,2016,3
50023,Almonacid de la Cuba,10 años,2016,5
50023,Almonacid de la Cuba,11 años,2016,1
50023,Almonacid de la Cuba,12 años,2016,5
50023,Almonacid de la Cuba,13 años,2016,1
50023,Almonacid de la Cuba,14 años,2016,2
50023,Almonacid de la Cuba,15 años,2016,5
50023,Almonacid de la Cuba,16 años,2016,1
50023,Almonacid de la Cuba,17 años,2016,2
50023,Almonacid de la Cuba,18 años,2016,1
50024,Almonacid de la Sierra,0 años,2016,1
50024,Almonacid de la Sierra,1 año,2016,3
50024,Almonacid de la Sierra,2 años,2016,6
50024,Almonacid de la Sierra,3 años,2016,3
50024,Almonacid de la Sierra,4 años,2016,4
50024,Almonacid de la Sierra,5 años,2016,4
50024,Almonacid de la Sierra,6 años,2016,6
50024,Almonacid de la Sierra,7 años,2016,2
50024,Almonacid de la Sierra,8 años,2016,5
50024,Almonacid de la Sierra,9 años,2016,4
50024,Almonacid de la Sierra,10 años,2016,2
50024,Almonacid de la Sierra,11 años,2016,6
50024,Almonacid de la Sierra,12 años,2016,1
50024,Almonacid de la Sierra,13 años,2016,6
50024,Almonacid de la Sierra,14 años,2016,2
50024,Almonacid de la Sierra,15 años,2016,3
50024,Almonacid de la Sierra,16 años,2016,8
50024,Almonacid de la Sierra,17 años,2016,2
50024,Almonacid de la Sierra,18 años,2016,9
50025,Almunia de Doña Godina La,0 años,2016,72
50025,Almunia de Doña Godina La,1 año,2016,103
50025,Almunia de Doña Godina La,2 años,2016,56
50025,Almunia de Doña Godina La,3 años,2016,83
50025,Almunia de Doña Godina La,4 años,2016,85
50025,Almunia de Doña Godina La,5 años,2016,93
50025,Almunia de Doña Godina La,6 años,2016,95
50025,Almunia de Doña Godina La,7 años,2016,99
50025,Almunia de Doña Godina La,8 años,2016,87
50025,Almunia de Doña Godina La,9 años,2016,97
50025,Almunia de Doña Godina La,10 años,2016,84
50025,Almunia de Doña Godina La,11 años,2016,99
50025,Almunia de Doña Godina La,12 años,2016,98
50025,Almunia de Doña Godina La,13 años,2016,76
50025,Almunia de Doña Godina La,14 años,2016,86
50025,Almunia de Doña Godina La,15 años,2016,66
50025,Almunia de Doña Godina La,16 años,2016,84
50025,Almunia de Doña Godina La,17 años,2016,78
50025,Almunia de Doña Godina La,18 años,2016,65
50026,Alpartir,0 años,2016,2
50026,Alpartir,1 año,2016,2
50026,Alpartir,2 años,2016,6
50026,Alpartir,3 años,2016,3
50026,Alpartir,4 años,2016,4
50026,Alpartir,5 años,2016,5
50026,Alpartir,6 años,2016,2
50026,Alpartir,7 años,2016,4
50026,Alpartir,8 años,2016,4
50026,Alpartir,9 años,2016,4
50026,Alpartir,10 años,2016,3
50026,Alpartir,11 años,2016,3
50026,Alpartir,12 años,2016,5
50026,Alpartir,13 años,2016,4
50026,Alpartir,14 años,2016,8
50026,Alpartir,15 años,2016,6
50026,Alpartir,16 años,2016,5
50026,Alpartir,17 años,2016,6
50026,Alpartir,18 años,2016,6
50027,Ambel,0 años,2016,4
50027,Ambel,1 año,2016,1
50027,Ambel,2 años,2016,0.0
50027,Ambel,3 años,2016,2
50027,Ambel,4 años,2016,2
50027,Ambel,5 años,2016,2
50027,Ambel,6 años,2016,0.0
50027,Ambel,7 años,2016,1
50027,Ambel,8 años,2016,0.0
50027,Ambel,9 años,2016,1
