cp,city,age,year,total
44023,Allueva,4 años,2020,0.0
44023,Allueva,5 años,2020,0.0
44023,Allueva,6 años,2020,0.0
44023,Allueva,7 años,2020,0.0
44023,Allueva,8 años,2020,0.0
44023,Allueva,9 años,2020,0.0
44023,Allueva,10 años,2020,0.0
44023,Allueva,11 años,2020,1
44023,Allueva,12 años,2020,0.0
44023,Allueva,13 años,2020,0.0
44023,Allueva,14 años,2020,0.0
44023,Allueva,15 años,2020,1
44023,Allueva,16 años,2020,0.0
44023,Allueva,17 años,2020,0.0
44023,Allueva,18 años,2020,0.0
44024,Anadón,0 años,2020,0.0
44024,Anadón,1 año,2020,0.0
44024,Anadón,2 años,2020,0.0
44024,Anadón,3 años,2020,0.0
44024,Anadón,4 años,2020,0.0
44024,Anadón,5 años,2020,0.0
44024,Anadón,6 años,2020,0.0
44024,Anadón,7 años,2020,0.0
44024,Anadón,8 años,2020,0.0
44024,Anadón,9 años,2020,0.0
44024,Anadón,10 años,2020,0.0
44024,Anadón,11 años,2020,0.0
44024,Anadón,12 años,2020,0.0
44024,Anadón,13 años,2020,0.0
44024,Anadón,14 años,2020,0.0
44024,Anadón,15 años,2020,0.0
44024,Anadón,16 años,2020,0.0
44024,Anadón,17 años,2020,0.0
44024,Anadón,18 años,2020,0.0
44025,Andorra,0 años,2020,48
44025,Andorra,1 año,2020,37
44025,Andorra,2 años,2020,58
44025,Andorra,3 años,2020,75
44025,Andorra,4 años,2020,43
44025,Andorra,5 años,2020,68
44025,Andorra,6 años,2020,77
44025,Andorra,7 años,2020,76
44025,Andorra,8 años,2020,60
44025,Andorra,9 años,2020,59
44025,Andorra,10 años,2020,71
44025,Andorra,11 años,2020,76
44025,Andorra,12 años,2020,60
44025,Andorra,13 años,2020,69
44025,Andorra,14 años,2020,58
44025,Andorra,15 años,2020,69
44025,Andorra,16 años,2020,53
44025,Andorra,17 años,2020,74
44025,Andorra,18 años,2020,82
44026,Arcos de las Salinas,0 años,2020,2
44026,Arcos de las Salinas,1 año,2020,1
44026,Arcos de las Salinas,2 años,2020,0.0
44026,Arcos de las Salinas,3 años,2020,3
44026,Arcos de las Salinas,4 años,2020,0.0
44026,Arcos de las Salinas,5 años,2020,1
44026,Arcos de las Salinas,6 años,2020,1
44026,Arcos de las Salinas,7 años,2020,1
44026,Arcos de las Salinas,8 años,2020,0.0
44026,Arcos de las Salinas,9 años,2020,0.0
44026,Arcos de las Salinas,10 años,2020,1
44026,Arcos de las Salinas,11 años,2020,1
44026,Arcos de las Salinas,12 años,2020,2
44026,Arcos de las Salinas,13 años,2020,0.0
44026,Arcos de las Salinas,14 años,2020,3
44026,Arcos de las Salinas,15 años,2020,1
44026,Arcos de las Salinas,16 años,2020,1
44026,Arcos de las Salinas,17 años,2020,0.0
44026,Arcos de las Salinas,18 años,2020,1
44027,Arens de Lledó,0 años,2020,0.0
44027,Arens de Lledó,1 año,2020,0.0
44027,Arens de Lledó,2 años,2020,2
44027,Arens de Lledó,3 años,2020,1
44027,Arens de Lledó,4 años,2020,2
44027,Arens de Lledó,5 años,2020,0.0
44027,Arens de Lledó,6 años,2020,0.0
44027,Arens de Lledó,7 años,2020,0.0
44027,Arens de Lledó,8 años,2020,0.0
44027,Arens de Lledó,9 años,2020,1
44027,Arens de Lledó,10 años,2020,0.0
44027,Arens de Lledó,11 años,2020,2
44027,Arens de Lledó,12 años,2020,1
44027,Arens de Lledó,13 años,2020,1
44027,Arens de Lledó,14 años,2020,2
44027,Arens de Lledó,15 años,2020,0.0
44027,Arens de Lledó,16 años,2020,3
44027,Arens de Lledó,17 años,2020,3
44027,Arens de Lledó,18 años,2020,2
44028,Argente,0 años,2020,2
44028,Argente,1 año,2020,1
44028,Argente,2 años,2020,0.0
44028,Argente,3 años,2020,1
44028,Argente,4 años,2020,0.0
44028,Argente,5 años,2020,2
44028,Argente,6 años,2020,0.0
44028,Argente,7 años,2020,1
44028,Argente,8 años,2020,1
44028,Argente,9 años,2020,3
44028,Argente,10 años,2020,0.0
44028,Argente,11 años,2020,1
44028,Argente,12 años,2020,1
44028,Argente,13 años,2020,0.0
44028,Argente,14 años,2020,1
44028,Argente,15 años,2020,2
44028,Argente,16 años,2020,2
44028,Argente,17 años,2020,1
44028,Argente,18 años,2020,1
44029,Ariño,0 años,2020,4
44029,Ariño,1 año,2020,0.0
44029,Ariño,2 años,2020,5
44029,Ariño,3 años,2020,3
44029,Ariño,4 años,2020,5
44029,Ariño,5 años,2020,7
44029,Ariño,6 años,2020,3
44029,Ariño,7 años,2020,5
44029,Ariño,8 años,2020,6
44029,Ariño,9 años,2020,5
44029,Ariño,10 años,2020,2
44029,Ariño,11 años,2020,7
44029,Ariño,12 años,2020,8
44029,Ariño,13 años,2020,6
44029,Ariño,14 años,2020,4
44029,Ariño,15 años,2020,7
44029,Ariño,16 años,2020,6
44029,Ariño,17 años,2020,4
44029,Ariño,18 años,2020,6
44031,Azaila,0 años,2020,1
44031,Azaila,1 año,2020,0.0
44031,Azaila,2 años,2020,1
44031,Azaila,3 años,2020,1
44031,Azaila,4 años,2020,0.0
44031,Azaila,5 años,2020,0.0
44031,Azaila,6 años,2020,0.0
44031,Azaila,7 años,2020,0.0
44031,Azaila,8 años,2020,0.0
44031,Azaila,9 años,2020,0.0
44031,Azaila,10 años,2020,0.0
44031,Azaila,11 años,2020,0.0
44031,Azaila,12 años,2020,0.0
44031,Azaila,13 años,2020,0.0
44031,Azaila,14 años,2020,0.0
44031,Azaila,15 años,2020,0.0
44031,Azaila,16 años,2020,0.0
44031,Azaila,17 años,2020,0.0
44031,Azaila,18 años,2020,0.0
44032,Bádenas,0 años,2020,0.0
44032,Bádenas,1 año,2020,0.0
44032,Bádenas,2 años,2020,0.0
44032,Bádenas,3 años,2020,0.0
44032,Bádenas,4 años,2020,0.0
44032,Bádenas,5 años,2020,0.0
44032,Bádenas,6 años,2020,1
44032,Bádenas,7 años,2020,0.0
44032,Bádenas,8 años,2020,1
44032,Bádenas,9 años,2020,0.0
44032,Bádenas,10 años,2020,0.0
44032,Bádenas,11 años,2020,0.0
44032,Bádenas,12 años,2020,0.0
44032,Bádenas,13 años,2020,0.0
44032,Bádenas,14 años,2020,0.0
44032,Bádenas,15 años,2020,0.0
44032,Bádenas,16 años,2020,0.0
44032,Bádenas,17 años,2020,0.0
44032,Bádenas,18 años,2020,0.0
44033,Báguena,0 años,2020,1
44033,Báguena,1 año,2020,1
44033,Báguena,2 años,2020,2
44033,Báguena,3 años,2020,0.0
44033,Báguena,4 años,2020,0.0
44033,Báguena,5 años,2020,0.0
44033,Báguena,6 años,2020,1
44033,Báguena,7 años,2020,1
44033,Báguena,8 años,2020,0.0
44033,Báguena,9 años,2020,1
44033,Báguena,10 años,2020,0.0
44033,Báguena,11 años,2020,0.0
44033,Báguena,12 años,2020,1
44033,Báguena,13 años,2020,1
44033,Báguena,14 años,2020,1
44033,Báguena,15 años,2020,0.0
44033,Báguena,16 años,2020,3
44033,Báguena,17 años,2020,1
44033,Báguena,18 años,2020,5
44034,Bañón,0 años,2020,1
44034,Bañón,1 año,2020,1
44034,Bañón,2 años,2020,1
44034,Bañón,3 años,2020,1
44034,Bañón,4 años,2020,1
44034,Bañón,5 años,2020,1
44034,Bañón,6 años,2020,0.0
44034,Bañón,7 años,2020,3
44034,Bañón,8 años,2020,0.0
44034,Bañón,9 años,2020,0.0
44034,Bañón,10 años,2020,1
44034,Bañón,11 años,2020,0.0
44034,Bañón,12 años,2020,0.0
44034,Bañón,13 años,2020,1
44034,Bañón,14 años,2020,0.0
44034,Bañón,15 años,2020,2
44034,Bañón,16 años,2020,1
44034,Bañón,17 años,2020,0.0
44034,Bañón,18 años,2020,1
44035,Barrachina,0 años,2020,2
44035,Barrachina,1 año,2020,0.0
44035,Barrachina,2 años,2020,0.0
44035,Barrachina,3 años,2020,0.0
44035,Barrachina,4 años,2020,0.0
44035,Barrachina,5 años,2020,0.0
44035,Barrachina,6 años,2020,0.0
44035,Barrachina,7 años,2020,0.0
44035,Barrachina,8 años,2020,1
44035,Barrachina,9 años,2020,1
44035,Barrachina,10 años,2020,0.0
44035,Barrachina,11 años,2020,0.0
44035,Barrachina,12 años,2020,3
44035,Barrachina,13 años,2020,0.0
44035,Barrachina,14 años,2020,1
44035,Barrachina,15 años,2020,0.0
44035,Barrachina,16 años,2020,0.0
44035,Barrachina,17 años,2020,0.0
44035,Barrachina,18 años,2020,0.0
44036,Bea,0 años,2020,0.0
44036,Bea,1 año,2020,0.0
44036,Bea,2 años,2020,0.0
44036,Bea,3 años,2020,0.0
44036,Bea,4 años,2020,0.0
44036,Bea,5 años,2020,0.0
44036,Bea,6 años,2020,0.0
44036,Bea,7 años,2020,0.0
44036,Bea,8 años,2020,0.0
44036,Bea,9 años,2020,0.0
