nombre,provincia,slug,codigoINE,poblacion1900,poblacion2024,poblacion2014,variacion1900,perdidaAbsoluta,perdidaPorcentual,varUltimosAnios,porcentajeMayores,porcentajeMenores,densidad
Valle de Lierp,huesca,valle-de-lierp,22244,212,58,0,-72.64150943396226,154,72.64150943396226,0,36.8,5.3,0
Alconchel de Ariza,zaragoza,alconchel-de-ariza,50015,667,78,0,-88.30584707646177,589,88.30584707646177,0,36.7,5.1,0
Castejón de Alarba,zaragoza,castejon-de-alarba,50075,294,79,0,-73.12925170068027,215,73.12925170068027,0,36.7,1.3,0
Tobed,zaragoza,tobed,50255,1002,198,0,-80.23952095808383,804,80.23952095808383,0,36.7,7.1,0
Badules,zaragoza,badules,50040,440,81,0,-81.5909090909091,359,81.5909090909091,0,36.6,2.4,0
Casbas de Huesca,huesca,casbas-de-huesca,22081,2195,292,0,-86.69703872437357,1903,86.69703872437357,0,36.6,4.8,0
Olvés,zaragoza,olves,50194,674,111,0,-83.53115727002968,563,83.53115727002968,0,36.6,8.9,0
Báguena,teruel,baguena,44033,1420,295,0,-79.22535211267606,1125,79.22535211267606,0,36.5,8,0
Biel,zaragoza,biel,50901,1659,170,0,-89.75286317058469,1489,89.75286317058469,0,36.5,3.5,0
Orés,zaragoza,ores,50197,734,74,0,-89.91825613079018,660,89.91825613079018,0,36.5,2.7,0
Terriente,teruel,terriente,44215,1109,210,0,-81.06402164111812,899,81.06402164111812,0,36.5,8.2,0
Fanlo,huesca,fanlo,22107,1065,118,0,-88.92018779342723,947,88.92018779342723,0,36.4,9.3,0
Monegrillo,zaragoza,monegrillo,50170,824,380,0,-53.883495145631066,444,53.883495145631066,0,36.4,5.9,0
Morés,zaragoza,mores,50177,1168,303,0,-74.0582191780822,865,74.0582191780822,0,36.4,7.5,0
Tolva,huesca,tolva,22229,962,132,0,-86.27858627858627,830,86.27858627858627,0,36.4,7.6,0
Uncastillo,zaragoza,uncastillo,50267,2758,615,0,-77.70123277737491,2143,77.70123277737491,0,36.4,5.5,0
Fuentes Claras,teruel,fuentes-claras,44112,1123,435,0,-61.264470169189664,688,61.264470169189664,0,36.3,9.7,0
Torrecilla de Alcañiz,teruel,torrecilla-de-alcaniz,44221,1105,436,0,-60.542986425339365,669,60.542986425339365,0,36.3,9.4,0
Valdealgorfa,teruel,valdealgorfa,44241,1665,580,0,-65.16516516516516,1085,65.16516516516516,0,36.3,11.7,0
Agón,zaragoza,agon,50003,499,133,0,-73.34669338677354,366,73.34669338677354,0,36.1,3.8,0
Azanuy-Alins,huesca,azanuy-alins,22040,1221,183,0,-85.01228501228502,1038,85.01228501228502,0,36.1,10.9,0
El Grado,huesca,el-grado,22115,1605,386,0,-75.95015576323988,1219,75.95015576323988,0,36.1,8.1,0
