cp,municipio,población,superficie,densidad
50098,Encinacorba,183,36.74,4.98
50099,Épila,4494,194.32,23.12
50100,Erla,363,18.96,19.14
50101,Escatrón,1174,94.64,12.40
50102,Fabara,1065,101.63,10.47
50104,Farlete,408,104.12,3.91
50105,Fayón,422,67.19,6.28
50106,Los Fayos,128,3.88,32.98
50107,Figueruelas,1250,16.99,73.57
50108,Fombuena,57,26.37,2.16
50109,El Frago,126,33.76,3.73
50110,El Frasno,363,48.64,7.46
50111,Fréscano,200,18.41,10.86
50113,Fuendejalón,756,75.83,9.96
50114,Fuendetodos,150,62,2.41
50115,Fuentes de Ebro,4626,141.73,32.63
50116,Fuentes de Jiloca,219,27.35,8.00
50117,Gallocanta,123,29.71,4.14
50118,Gallur,2576,41.71,61.75
50119,Gelsa,996,72.04,13.82
50120,Godojos,61,16.77,3.63
50121,Gotor,307,15.52,19.78
50122,Grisel,93,14.51,6.40
50123,Grisén,646,4.75,136.00
50124,Herrera de los Navarros,502,105.01,4.78
50125,Ibdes,378,56.31,6.71
50126,Illueca,2711,24.86,109.05
50128,Isuerre,33,20.05,1.64
50129,Jaraba,281,42.81,6.56
50130,Jarque de Moncayo,399,43,9.27
50131,Jaulín,291,46.05,6.31
50132,Joyosa La,1152,6.52,176.68
50133,Lagata,111,23.65,4.69
50134,Langa del Castillo,115,50.13,2.29
50135,Layana,96,3.69,26.01
50136,Lécera,616,109,5.65
50137,Leciñena,1103,178.59,6.17
50138,Lechón,46,17.46,2.63
50139,Letux,337,30.15,11.17
50140,Litago,196,15,13.06
50141,Lituénigo,123,11.38,10.80
50142,Lobera de Onsella,26,32.18,.80
50143,Longares,852,45.96,18.53
50144,Longás,44,49.23,.89
50146,Lucena de Jalón,234,10.31,22.69
50147,Luceni,990,27.08,36.55
50148,Luesia,335,126.83,2.64
50149,Luesma,39,29,1.34
50150,Lumpiaque,848,29.55,28.69
50151,Luna,680,308.92,2.20
50152,Maella,2100,174.88,12.00
50153,Magallón,1110,78.61,14.12
50154,Mainar,176,34.02,5.17
50155,Malanquilla,79,36.63,2.15
50156,Maleján,268,0.08,3350.00
50157,Malón,431,5.66,76.14
50159,Maluenda,902,40.09,22.49
50160,Mallén,2939,37.42,78.54
50161,Manchones,99,26.83,3.68
50162,Mara,163,21.09,7.72
50163,María de Huerva,6335,108.09,58.60
50164,Mediana de Aragón,441,90.57,4.86
50165,Mequinenza,2272,307.45,7.38
50166,Mesones de Isuela,260,48.55,5.35
50167,Mezalocha,224,60.64,3.69
50168,Mianos,26,14.82,1.75
50169,Miedes de Aragón,425,55.38,7.67
50170,Monegrillo,384,183.16,2.09
50171,Moneva,124,61,2.03
50172,Monreal de Ariza,175,62.06,2.81
50173,Monterde,160,55.94,2.86
50174,Montón,87,17.59,4.94
50175,Morata de Jalón,1058,45.87,23.06
50176,Morata de Jiloca,251,23.09,10.87
50177,Morés,304,21.46,14.16
50178,Moros,285,53,5.37
50179,Moyuela,241,42.76,5.63
50180,Mozota,129,8.68,14.86
50181,Muel,1450,79.17,18.31
50182,La Muela,6416,143.49,44.71
50183,Munébrega,369,40.99,9.00
50184,Murero,106,18.25,5.80
50185,Murillo de Gállego,203,54.71,3.71
50186,Navardún,38,24,1.58
50187,Nigüella,60,30.42,1.97
50188,Nombrevilla,37,17.56,2.10
50189,Nonaspe,1025,111.45,9.19
50190,Novallas,846,11,76.90
50191,Novillas,509,25.28,20.13
50192,Nuévalos,317,41.84,7.57
50193,Nuez de Ebro,912,8.21,111.08
50194,Olvés,102,20.18,5.05
50195,Orcajo,59,28.45,2.07
50196,Orera,103,19.82,5.19
50197,Orés,91,54.52,1.66
50198,Oseja,47,12,3.91
50199,Osera de Ebro,400,24.56,16.28
50200,Paniza,594,47.31,12.55
50201,Paracuellos de Jiloca,584,32,18.25
50202,Paracuellos de la Ribera,115,32,3.59
50203,Pastriz,1316,16.52,79.66
50204,Pedrola,3667,113.74,32.24
50205,Pedrosas Las,99,18.26,5.42
50206,Perdiguera,552,109.77,5.02
50207,Piedratajada,89,22.66,3.92
50208,Pina de Ebro,2456,309.17,7.94
50209,Pinseque,4342,16.09,269.85
50210,Los Pintanos,40,79.64,.50
50211,Plasencia de Jalón,353,34.77,10.15
50212,Pleitas,34,2.14,15.88
50213,Plenas,105,37.95,2.76
50214,Pomer,26,33.11,.78
50215,Pozuel de Ariza,23,22.63,1.01
50216,Pozuelo de Aragón,257,32.11,8.00
50217,Pradilla de Ebro,558,25.45,21.92
50218,Puebla de Albortón,131,76.31,1.71
50219,La Puebla de Alfindén,6414,17.03,376.62
50220,Puendeluna,44,9.88,4.45
50221,Purujosa,30,35.43,.84
50222,Quinto,1869,118.26,15.80
50223,Remolinos,1010,18.51,54.56
50224,Retascón,71,25.16,2.82
50225,Ricla,2987,90.67,32.94
50227,Romanos,149,19.53,7.62
50228,Rueda de Jalón,323,107.37,3.00
50229,Ruesca,70,11.63,6.01
50230,Sádaba,1263,129.55,9.74
50231,Salillas de Jalón,351,2.51,139.84
50232,Salvatierra de Esca,204,81.24,2.51
50233,Samper del Salz,92,11.49,8.00
50234,San Martín de la Virgen de Moncayo,271,5.42,50.00
50235,San Mateo de Gállego,3441,71.62,48.04
50236,Santa Cruz de Grío,97,19.51,4.97
50237,Santa Cruz de Moncayo,126,19.51,6.45
50238,Santa Eulalia de Gállego,94,80.97,1.16
50239,Santed,67,17.81,3.76
50240,Sástago,1088,300.98,3.61
50241,Sabiñán,673,15.52,43.36
50242,Sediles,108,11.71,9.22
50243,Sestrica,341,40.88,8.34
50244,Sierra de Luna,271,43.39,6.24
50245,Sigüés,70,101.77,.68
50246,Sisamón,44,41.55,1.05
50247,Sobradiel,1116,12.06,92.53
50248,Sos del Rey Católico,583,216.62,2.69
50249,Tabuenca,315,85.72,3.67
50250,Talamantes,84,46.94,1.78
50251,Tarazona,10720,244.01,43.93
50252,Tauste,6828,405.23,16.84
50253,Terrer,550,33.75,16.29
50254,Tierga,174,66.13,2.63
50255,Tobed,201,32.39,6.20
50256,Torralba de los Frailes,72,40.39,1.78
50257,Torralba de Ribota,176,40.39,4.35
50258,Torralbilla,43,25.86,1.66
50259,Torrehermosa,73,21.13,3.45
50260,Torrelapaja,32,15.68,2.04
50261,Torrellas,237,2.53,93.67
50262,Torres de Berrellén,1498,53.81,27.83
50263,Torrijo de la Cañada,201,74.57,2.69
50264,Tosos,163,68.65,2.37
50265,Trasmoz,83,18.26,4.54
