year,cp,name,population,select,menor,mayor
1920,22172,Peñalba,1307,,,
1920,22173,Peñas de Riglos Las,2429,,,
1920,22174,Peralta de Alcofea,2038,,,
1920,22175,Peralta de Calasanz,2361,,,
1920,22176,Peraltilla,498,,,
1920,22177,Perarrúa,661,,,
1920,22178,Pertusa,616,,,
1920,22181,Piracés,279,,,
1920,22182,Plan,1113,,,
1920,22184,Poleñino,523,,,
1920,22186,Pozán de Vero,791,,,
1920,22187,Puebla de Castro La,735,,,
1920,22188,Puente de Montañana,801,,,
1920,22189,Puértolas,1074,,,
1920,22190,Pueyo de Araguás El,503,,,
1920,22193,Pueyo de Santa Cruz,466,,,
1920,22195,Quicena,302,,,
1920,22197,Robres,1129,,,
1920,22199,Sabiñánigo,4828,,,
1920,22200,Sahún,686,,,
1920,22201,Salas Altas,1004,,,
1920,22202,Salas Bajas,587,,,
1920,22203,Salillas,374,,,
1920,22204,Sallent de Gállego,1387,,,
1920,22205,San Esteban de Litera,1836,,,
1920,22206,Sangarrén,614,,,
1920,22207,San Juan de Plan,383,,,
1920,22208,Santa Cilia,600,,,
1920,22209,Santa Cruz de la Serós,332,,,
1920,22212,Santaliestra y San Quílez,422,,,
1920,22213,Sariñena,4490,,,
1920,22214,Secastilla,845,,,
1920,22215,Seira,494,,,
1920,22217,Sena,1249,,,
1920,22218,Senés de Alcubierre,188,,,
1920,22220,Sesa,838,,,
1920,22221,Sesué,301,,,
1920,22222,Siétamo,1551,,,
1920,22223,Sopeira,724,,,
1920,22225,Tamarite de Litera,4488,,,
1920,22226,Tardienta,1925,,,
1920,22227,Tella-Sin,843,,,
1920,22228,Tierz,307,,,
1920,22229,Tolva,898,,,
1920,22230,Torla-Ordesa,886,,,
1920,22232,Torralba de Aragón,477,,,
1920,22233,Torre la Ribera,438,,,
1920,22234,Torrente de Cinca,1438,,,
1920,22235,Torres de Alcanadre,493,,,
1920,22236,Torres de Barbués,250,,,
1920,22239,Tramaced,119,,,
1920,22242,Valfarta,368,,,
1920,22243,Valle de Bardají,202,,,
1920,22244,Valle de Lierp,263,,,
1920,22245,Velilla de Cinca,1183,,,
1920,22246,Beranuy,659,,,
1920,22247,Viacamp y Litera,808,,,
1920,22248,Vicién,296,,,
1920,22249,Villanova,352,,,
1920,22250,Villanúa,847,,,
1920,22251,Villanueva de Sigena,972,,,
1920,22252,Yebra de Basa,926,,,
1920,22253,Yésero,293,,,
1920,22254,Zaidín,2100,,,
1920,22901,Valle de Hecho,2504,,,
1920,22902,Puente la Reina de Jaca,817,,,
1920,22903,San Miguel del Cinca,1902,,,
1920,22904,Sotonera La,3667,,,
1920,22905,Lupiñén-Ortilla,1211,,,
1920,22906,Santa María de Dulcis,583,,,
1920,22907,Aínsa-Sobrarbe,3715,,,
1920,22908,Hoz y Costeán,1313,,,
1930,22001,Abiego,1181,,,
1930,22002,Abizanda,437,,,
1930,22003,Adahuesca,545,,,
1930,22004,Agüero,1084,,,
1930,22006,Aísa,631,,,
1930,22007,Albalate de Cinca,1588,,,
1930,22008,Albalatillo,564,,,
1930,22009,Albelda,1271,,,
1930,22011,Albero Alto,298,,,
1930,22012,Albero Bajo,209,,,
1930,22013,Alberuela de Tubo,232,,,
1930,22014,Alcalá de Gurrea,1733,,,
1930,22015,Alcalá del Obispo,1290,,,
1930,22016,Alcampell,2250,,,
1930,22017,Alcolea de Cinca,2173,,,
1930,22018,Alcubierre,1298,,,
1930,22019,Alerre,208,,,
