municipio,cp,superficie,densidad,posicion
Celadas,44075,100.45,3.94,271
Cella,44076,124.68,20.90,272
La Cerollera,44077,33.75,2.96,273
La Codoñera,44080,20.97,16.40,274
Corbalán,44082,82.44,1.32,275
Cortes de Aragón,44084,24.43,2.49,276
Cosa,44085,54.81,0.94,277
Cretas,44086,52.66,10.84,278
Crivillén,44087,42.03,1.61,279
La Cuba,44088,6.51,6.29,280
Cubla,44089,48.63,1.11,281
Cucalón,44090,31.93,2.50,282
El Cuervo,44092,20.76,4.14,283
Cuevas de AlmudÃ©n,44093,35.85,3.40,284
Cuevas Labradas,44094,40.81,3.20,285
Ejulve,44096,109.49,1.64,286
Escorihuela,44097,56.99,2.43,287
Escucha,44099,41.57,21.28,288
Estercuel,44100,55.59,3.77,289
Ferreruela de Huerva,44101,20.44,3.08,290
Fonfría,44102,20.58,1.36,291
Formiche Alto,44103,78.17,1.93,292
Fórnoles,44105,32.56,2.30,293
Fortanete,44106,168.21,1.21,294
Foz-Calanda,44107,37.87,6.28,295
La Fresneda,44108,39.48,11.22,296
Frías de Albarrací­n,44109,50.79,2.28,297
Fuenferrada,44110,24.53,1.71,298
Fuentes Calientes,44111,25.01,4.03,299
Fuentes Claras,44112,36.91,12.48,300
Fuentes de Rubielos,44113,38.91,2.92,301
Fuentespalda,44114,39,7.33,302
Galve,44115,61.23,2.62,303
Gargallo,44116,30.08,2.95,304
Gea de Albarracín,44117,57,6.59,305
La Ginebrosa,44118,80,2.50,306
Griegos,44119,31.77,4.50,307
Guadalaviar,44120,28.08,8.61,308
Gúdar,44121,60.77,1.18,309
Híjar,44122,165.36,10.33,310
Hinojosa de Jarque,44123,36.47,3.26,311
La Hoz de La Vieja,44124,43.73,1.94,312
Huesa del Común,44125,61.69,1.08,313
La Iglesuela del Cid,44126,40.29,10.27,314
Jabaloyas,44127,61.73,1.05,315
Jarque de La Val,44128,29.23,2.39,316
Jatiel,44129,10.84,3.69,317
Jorcas,44130,26,1.30,318
Josa,44131,28.23,1.20,319
Lagueruela,44132,26.32,2.96,320
Lanzuela,44133,14.22,1.68,321
Libros,44135,37.91,2.66,322
Lidón,44136,40,1.37,323
Linares de Mora,44137,116.28,2.14,324
Loscos,44138,71.78,1.79,325
Lledó,44141,15.61,11.01,326
Maicas,44142,24.74,1.09,327
Manzanera,44143,168.66,3.07,328
Martín del Río,44144,54.88,7.59,329
Mas de Las Matas,44145,29.99,42.41,330
La Mata de Los Olmos,44146,23.73,11.16,331
Mazaleón,44147,86.25,6.24,332
Mezquita de Jarque,44148,31.14,3.14,333
Mirambel,44149,45.47,2.55,334
Miravete de La Sierra,44150,36.51,0.95,335
Molinos,44151,79.61,3.05,336
Monforte de Moyuela,44152,47.74,1.36,337
Monreal del Campo,44153,89.05,27.32,338
Monroyo,44154,79.23,4.29,339
Montalbán,44155,82.04,15.15,340
Monteagudo del Castillo,44156,44.36,1.12,341
Monterde de Albarracín,44157,45.21,1.39,342
Mora de Rubielos,44158,166.23,9.27,343
Moscardón,44159,26.93,2.04,344
Mosqueruela,44160,265.03,2.07,345
Muniesa,44161,129,4.64,346
Noguera de Albarracín,44163,47.44,2.80,347
Nogueras,44164,18.85,1.32,348
Nogueruelas,44165,99.49,2.18,349
ObÃ³n,44167,68.38,0.65,350
OdÃ³n,44168,74.24,2.76,351
Ojos Negros,44169,90.92,4.14,352
Olba,44171,20.99,10.76,353
Oliete,44172,85.48,4.25,354
Los Olmos,44173,43.97,2.77,355
Orihuela del Tremedal,44174,71.52,6.80,356
Orrios,44175,35,3.60,357
Palomar de Arroyos,44176,33.62,5.02,358
Pancrudo,44177,100.12,1.09,359
Las Parras de Castellote,44178,42.13,1.25,360
Peñarroya de Tastavins,44179,83.28,5.27,361
Peracense,44180,28.66,2.65,362
Peralejos,44181,36,2.44,363
Perales del Alfambra,44182,104.24,2.12,364
Pitarque,44183,54.35,1.45,365
Plou,44184,17.21,2.49,366
El Pobo,44185,63,1.80,367
La Portellada,44187,21.37,11.37,368
Pozondón,44189,67.64,0.70,369
Pozuel del Campo,44190,27.85,2.44,370
La Puebla de Híjar,44191,17.03,53.31,371
La Puebla de Valverde,44192,17.03,26.60,372
Puertomingalvo,44193,103.62,1.08,373
RÃ¡fales,44194,35.61,4.01,374
Rillo,44195,53.31,1.74,375
Riodeva,44196,34.34,4.19,376
Ródenas,44197,44.26,1.37,377
Royuela,44198,32,6.43,378
Rubiales,44199,27.42,1.82,379
Rubielos de La CÃ©rida,44200,66,0.57,380
Rubielos de Mora,44201,66,9.50,381
Salcedillo,44203,16.89,1.00,382
Saldón,44204,28.37,0.91,383
Samper de Calanda,44205,142,5.51,384
San Agustín,44206,56.57,2.20,385
San Martín del Río,44207,5.42,27.30,386
Santa Cruz de Nogueras,44208,19.51,1.89,387
Santa Eulalia,44209,80.97,12.80,388
Sarrión,44210,140.44,8.06,389
Segura de Los Baños,44211,54.15,0.72,390
Seno,44212,17.85,2.18,391
Singra,44213,36.72,2.17,392
Terriente,44215,47.98,3.81,393
Teruel,44216,440.41,81.04,394
Toril y Masegoso,44217,30.67,0.97,395
Tormón,44218,29.34,1.05,396
Tornos,44219,48.95,4.35,397
Torralba de Los Sisones,44220,40.39,3.86,398
Torrecilla de Alcañiz,44221,26.76,15.80,399
Torrecilla del Rebollar,44222,26.76,4.74,400
Torre de Arcas,44223,34.28,2.59,401
Torre de Las Arcas,44224,37.17,0.75,402
Torre del Compte,44225,19.46,6.78,403
Torrelacárcel,44226,35.54,4.33,404
Torre Los Negros,44227,29.15,3.01,405
Torremocha de Jiloca,44228,33.94,3.15,406
Torres de Albarracín,44229,28.31,6.46,407
Torrevelilla,44230,33.44,5.65,408
Torrijas,44231,57.34,0.66,409
Torrijo del Campo,44232,44.04,10.14,410
Tramacastiel,44234,47.29,1.35,411
Tramacastilla,44235,24.81,4.27,412
Tronchón,44236,57.11,1.13,413
Urrea de Gaén,44237,41.12,10.60,414
Utrillas,44238,39.82,74.58,415
Valacloche,44239,15.02,1.39,416
Valbona,44240,40.72,4.27,417
Valdealgorfa,44241,46.93,13.25,418
Valdecuenca,44243,18.64,1.87,419
Valdelinares,44244,55.09,1.57,420
Valdeltormo,44245,16,17.43,421
Valderrobres,44246,124.04,19.25,422
Valjunquera,44247,41.84,7.76,423
El Vallecillo,44249,21.59,2.22,424
Veguillas de La Sierra,44250,13.67,1.46,425
Villafranca del Campo,44251,63.64,4.66,426
Villahermosa del Campo,44252,19,4.94,427
Villanueva del Rebollar de La Sierra,44256,75.99,0.61,428
Villar del Cobo,44257,54.13,3.02,429
Villar del Salz,44258,38.69,1.55,430
Villarluengo,44260,157.89,1.12,431
Villarquemado,44261,56.43,15.27,432
Villarroya de Los Pinares,44262,91,1.75,433
Villastar,44263,39.05,12.65,434
Villel,44264,85.38,3.82,435
Vinaceite,44265,50.07,4.97,436
Visiedo,44266,55.53,2.25,437
Vivel del Río Martín,44267,51.16,1.54,438
La Zoma,44268,14,1.14,439
Abanto,50001,63.84,1.51,440
Acered,50002,30,5.50,441
Agón,50003,18.52,7.88,442
Aguarón,50004,36.62,17.23,443
AguilÃ³n,50005,59.45,3.95,444
Ainzón,50006,40.46,26.81,445
AladrÃ©n,50007,21.06,2.46,446
Alagón,50008,24.22,292.89,447
Alarba,50009,19,7.00,448
Alberite de San Juan,50010,11.23,6.41,449
Albeta,50011,2.65,49.81,450
Alborge,50012,4.84,22.31,451
Alcalá de Ebro,50013,9.87,25.43,452
Alcalá de Moncayo,50014,13.76,10.46,453
Alconchel de Ariza,50015,34.85,1.80,454
Aldehuela de Liestos,50016,38.04,1.28,455
Alfajarín,50017,137.57,16.80,456
Alfamén,50018,102.04,14.12,457
Alforque,50019,10.62,5.83,458
Alhama de Aragón,50020,31.14,33.26,459
Almochuel,50021,32,0.90,460
La Almolda,50022,131.33,4.31,461
Almonacid de La Cuba,50023,55.21,4.56,462
Almonacid de La Sierra,50024,55.21,12.51,463
La Almunia de Doña Godina,50025,56.65,138.02,464
Alpartir,50026,32.54,17.79,465
Ambel,50027,61,4.19,466
Anento,50028,21.52,4.41,467
AniñÃ³n,50029,52.46,13.49,468
Añón de Moncayo,50030,64.19,3.31,469
Aranda de Moncayo,50031,91,1.75,470
ArÃ¡ndiga,50032,50.22,6.15,471
Ardisa,50033,27.28,2.63,472
Ariza,50034,103.08,11.04,473
Artieda,50035,13.57,5.37,474
AsÃ­n,50036,18.47,5.19,475
Atea,50037,34.67,4.49,476
Ateca,50038,84.71,21.16,477
Azuara,50039,165.81,3.27,478
Badules,50040,20.09,4.13,479
BagÃ¼Ã©s,50041,30.72,0.39,480
BalconchÃ¡n,50042,19,0.89,481
BÃ¡rboles,50043,15.68,19.13,482
Bardallur,50044,27.34,9.54,483
Belchite,50045,273.68,5.58,484
Belmonte de Gracián,50046,43.68,4.53,485
Berdejo,50047,19.39,2.42,486
Berrueco,50048,19,1.73,487
Bijuesca,50050,57.08,1.71,488
Biota,50051,128,7.40,489
Bisimbre,50052,11.22,8.64,490
Boquiñeni,50053,18.87,42.81,491
Bordalba,50054,41.58,1.34,492
Borja,50055,107.29,45.87,493
Botorrita,50056,19.81,25.13,494
Brea de Aragón,50057,13.38,124.43,495
Bubierca,50058,29.54,2.13,496
Bujaraloz,50059,120.92,8.31,497
Bulbuente,50060,25.44,8.52,498
Bureta,50061,11.91,18.21,499
El Burgo de Ebro,50062,24.86,97.82,500
El Buste,50063,7.61,9.46,501
Cabañas de Ebro,50064,8.53,58.38,502
Cabolafuente,50065,39.24,0.81,503
Cadrete,50066,11.86,328.07,504
Calatayud,50067,154.25,129.88,505
Calatorao,50068,48.15,59.41,506
Calcena,50069,64.74,1.15,507
Calmarza,50070,28.15,2.09,508
Campillo de Aragón,50071,36.86,4.04,509
Carenas,50072,31.22,5.66,510
Cariñena,50073,82.51,39.70,511
Caspe,50074,503.15,18.93,512
Castejón de Alarba,50075,17.56,5.23,513
CastejÃ³n de Las Armas,50076,17.56,5.12,514
Castejón de Valdejasa,50077,17.56,12.58,515
Castiliscar,50078,40.68,6.51,516
Cervera de La Cañada,50079,29.22,9.27,517
Cerveruela,50080,23.49,1.48,518
Cetina,50081,78.76,7.51,519
Cimballa,50082,31.95,2.91,520
Cinco Olivas,50083,2.25,49.77,521
Clarés de Ribota,50084,18,3.61,522
Codo,50085,11.36,17.42,523
Codos,50086,62.69,2.91,524
Contamina,50087,14.02,2.63,525
Cosuenda,50088,31.68,11.58,526
Cuarte de Huerva,50089,8.95,1458.65,527
Cubel,50090,58.62,2.86,528
Las Cuerlas,50091,32.58,1.19,529
Chiprana,50092,38.98,13.03,530
Chodes,50093,15.97,7.07,531
Daroca,50094,52.05,38.34,532
Ejea de Los Caballeros,50095,609.92,27.22,533
Embid de Ariza,50096,41.26,0.87,534
Encinacorba,50098,36.74,5.14,535
Épila,50099,194.32,22.65,536
Erla,50100,18.96,18.19,537
Escatrón,50101,94.64,10.84,538
Fabara,50102,101.63,11.33,539
Farlete,50104,104.12,3.70,540
FayÃ³n,50105,67.19,5.26,541
Los Fayos,50106,3.88,36.34,542
Figueruelas,50107,16.99,72.98,543
Fombuena,50108,26.37,2.04,544
El Frago,50109,33.76,2.93,545
El Frasno,50110,48.64,7.89,546
FrÃ©scano,50111,18.41,10.97,547
Fuendejalón,50113,75.83,10.45,548
Fuendetodos,50114,62,1.95,549
Fuentes de Ebro,50115,141.73,32.05,550
Fuentes de Jiloca,50116,27.35,8.37,551
Gallocanta,50117,29.71,5.18,552
Gallur,50118,41.71,63.00,553
Gelsa,50119,72.04,13.81,554
Godojos,50120,16.77,3.22,555
Gotor,50121,15.52,19.71,556
Grisel,50122,14.51,4.61,557
Grisén,50123,4.75,125.68,558
Herrera de Los Navarros,50124,105.01,4.81,559
Ibdes,50125,56.31,7.17,560
Illueca,50126,24.86,119.22,561
Isuerre,50128,20.05,1.54,562
Jaraba,50129,42.81,6.54,563
Jarque,50130,43,10.13,564
JaulÃ­n,50131,46.05,5.14,565
La Joyosa,50132,6.52,164.41,566
Lagata,50133,23.65,4.69,567
Langa del Castillo,50134,50.13,2.63,568
Layana,50135,3.69,27.10,569
Lécera,50136,109,6.06,570
Leciñena,50137,178.59,6.50,571
Lechón,50138,17.46,3.03,572
Letux,50139,30.15,11.34,573
Litago,50140,15,11.06,574
Lituénigo,50141,11.38,11.15,575
Lobera de Onsella,50142,32.18,0.87,576
Longares,50143,45.96,16.60,577
Longás,50144,49.23,0.71,578
Lucena de JalÃ³n,50146,10.31,22.98,579
Luceni,50147,27.08,34.89,580
Luesia,50148,126.83,2.44,581
Luesma,50149,29,1.17,582
Lumpiaque,50150,29.55,27.98,583
Luna,50151,308.92,2.26,584
Maella,50152,174.88,11.47,585
Magallón,50153,78.61,14.41,586
Mainar,50154,34.02,4.43,587
Malanquilla,50155,36.63,2.73,588
Maleján,50156,0.08,3237.50,589
MalÃ³n,50157,5.66,57.06,590
Maluenda,50159,40.09,23.49,591
Mallén,50160,37.42,82.38,592
Manchones,50161,26.83,3.65,593
Mara,50162,21.09,8.58,594
María de Huerva,50163,108.09,52.39,595
Mediana de Aragón,50164,90.57,5.13,596
Mequinenza,50165,307.45,7.48,597
Mesones de Isuela,50166,48.55,5.58,598
Mezalocha,50167,60.64,3.95,599
Mianos,50168,14.82,2.15,600
Miedes de Aragón,50169,55.38,7.80,601
Monegrillo,50170,183.16,2.25,602
Moneva,50171,61,1.54,603
Monreal de Ariza,50172,62.06,3.41,604
Monterde,50173,55.94,2.84,605
MontÃ³n,50174,17.59,5.34,606
Morata de Jalón,50175,45.87,23.91,607
Morata de Jiloca,50176,23.09,12.21,608
MorÃ©s,50177,21.46,15.56,609
Moros,50178,53,6.83,610
Moyuela,50179,42.76,5.72,611
Mozota,50180,8.68,14.97,612
