"municipio","densidad","superficie"
"Valjunquera",7.76,41.84
"El Vallecillo",2.22,21.59
"Veguillas de La Sierra",1.46,13.67
"Villafranca del Campo",4.66,63.64
"Villahermosa del Campo",4.94,19
"Villanueva del Rebollar de La Sierra",0.61,75.99
"Villar del Cobo",3.02,54.13
"Villar del Salz",1.55,38.69
"Villarluengo",1.12,157.89
"Villarroya de Los Pinares",1.75,91
"Villel",3.82,85.38
"Vinaceite",4.97,50.07
"Visiedo",2.25,55.53
"Vivel del Río Martín",1.54,51.16
"La Zoma",1.14,14
"Abanto",1.51,63.84
"Acered",5.5,30
"Agón",7.88,18.52
"AguilÃ³n",3.95,59.45
"AladrÃ©n",2.46,21.06
"Alarba",7,19
"Alberite de San Juan",6.41,11.23
"Alconchel de Ariza",1.8,34.85
"Aldehuela de Liestos",1.28,38.04
"Alforque",5.83,10.62
"Almochuel",0.9,32
"La Almolda",4.31,131.33
"Almonacid de La Cuba",4.56,55.21
"Ambel",4.19,61
"Anento",4.41,21.52
"Añón de Moncayo",3.31,64.19
"Aranda de Moncayo",1.75,91
"ArÃ¡ndiga",6.15,50.22
"Ardisa",2.63,27.28
"Artieda",5.37,13.57
"AsÃ­n",5.19,18.47
"Atea",4.49,34.67
"Azuara",3.27,165.81
"Badules",4.13,20.09
"BagÃ¼Ã©s",0.39,30.72
"BalconchÃ¡n",0.89,19
"Bardallur",9.54,27.34
"Belchite",5.58,273.68
"Belmonte de Gracián",4.53,43.68
"Berdejo",2.42,19.39
"Berrueco",1.73,19
"Bijuesca",1.71,57.08
"Biota",7.4,128
"Bisimbre",8.64,11.22
"Bordalba",1.34,41.58
"Bubierca",2.13,29.54
"Bujaraloz",8.31,120.92
"Bulbuente",8.52,25.44
"El Buste",9.46,7.61
"Cabolafuente",0.81,39.24
"Calcena",1.15,64.74
"Calmarza",2.09,28.15
"Campillo de Aragón",4.04,36.86
"Carenas",5.66,31.22
"Castejón de Alarba",5.23,17.56
"CastejÃ³n de Las Armas",5.12,17.56
"Castiliscar",6.51,40.68
"Cervera de La Cañada",9.27,29.22
"Cerveruela",1.48,23.49
"Cetina",7.51,78.76
"Cimballa",2.91,31.95
"Clarés de Ribota",3.61,18
"Codos",2.91,62.69
"Contamina",2.63,14.02
"Cubel",2.86,58.62
"Las Cuerlas",1.19,32.58
"Chodes",7.07,15.97
"Embid de Ariza",0.87,41.26
"Encinacorba",5.14,36.74
"Farlete",3.7,104.12
"FayÃ³n",5.26,67.19
"Fombuena",2.04,26.37
"El Frago",2.93,33.76
"El Frasno",7.89,48.64
"Fuendetodos",1.95,62
"Fuentes de Jiloca",8.37,27.35
"Gallocanta",5.18,29.71
"Godojos",3.22,16.77
"Grisel",4.61,14.51
"Herrera de Los Navarros",4.81,105.01
"Ibdes",7.17,56.31
"Isuerre",1.54,20.05
"Jaraba",6.54,42.81
"JaulÃ­n",5.14,46.05
"Lagata",4.69,23.65
"Langa del Castillo",2.63,50.13
"Lécera",6.06,109
"Leciñena",6.5,178.59
"Lechón",3.03,17.46
"Lobera de Onsella",0.87,32.18
"Longás",0.71,49.23
"Luesia",2.44,126.83
"Luesma",1.17,29
"Luna",2.26,308.92
"Mainar",4.43,34.02
"Malanquilla",2.73,36.63
"Manchones",3.65,26.83
"Mara",8.58,21.09
"Mediana de Aragón",5.13,90.57
"Mequinenza",7.48,307.45
"Mesones de Isuela",5.58,48.55
"Mezalocha",3.95,60.64
"Mianos",2.15,14.82
"Miedes de Aragón",7.8,55.38
"Monegrillo",2.25,183.16
"Moneva",1.54,61
"Monreal de Ariza",3.41,62.06
"Monterde",2.84,55.94
"MontÃ³n",5.34,17.59
"Moros",6.83,53
"Moyuela",5.72,42.76
"Munébrega",9.39,40.99
"Murero",5.86,18.25
"Murillo de Gállego",3.18,54.71
"Navardún",1.66,24
"NigÃ¼ella",2.16,30.42
"Nombrevilla",1.65,17.56
"Nonaspe",8.63,111.45
"Nuévalos",7.76,41.84
"Olvés",5.25,20.18
"Orcajo",2.07,28.45
"Orera",5.95,19.82
"Orés",1.9,54.52
"Oseja",4.33,12
"Paracuellos de La Ribera",4.93,32
"Las Pedrosas",4.92,18.26
"Perdiguera",5.25,109.77
"Piedratajada",4.28,22.66
"Pina de Ebro",7.67,309.17
"Los Pintanos",0.46,79.64
"Plasencia de JalÃ³n",8.71,34.77
"Plenas",2.66,37.95
"Pomer",0.66,33.11
"Pozuel de Ariza",0.92,22.63
"Pozuelo de Aragón",8.84,32.11
"Puebla de Albortón",1.57,76.31
"Puendeluna",4.45,9.88
"Purujosa",1.01,35.43
"Retascón",2.94,25.16
"Romanos",6.09,19.53
"Rueda de Jalón",3.02,107.37
"Ruesca",6.19,11.63
"Salvatierra de Esca",2.43,81.24
"Samper del Salz",9.74,11.49
"Santa Cruz de GrÃ­o",5.53,19.51
"Santa Cruz de Moncayo",6.4,19.51
"Santa Eulalia de Gállego",1.21,80.97
"Santed",3.42,17.81
"Sástago",3.88,300.98
"Sediles",8.11,11.71
"Sestrica",9.05,40.88
"Sierra de Luna",5.83,43.39
"Sigüés",0.86,101.77
"Sisamón",0.74,41.55
"Sos del Rey Católico",2.71,216.62
"Tabuenca",3.76,85.72
"Talamantes",1.34,46.94
"Tierga",2.9,66.13
"Tobed",6.6,32.39
"Torralba de Los Frailes",2.12,40.39
"Torralba de Ribota",4.25,40.39
"Torralbilla",2.35,25.86
"Torrehermosa",2.98,21.13
"Torrelapaja",2.04,15.68
"Torrijo de La Cañada",2.76,74.57
"Tosos",2.62,68.65
"Trasmoz",4.87,18.26
"Trasobares",1.67,71.76
"Uncastillo",2.81,230.87
"Undués de Lerda",1.27,42.99
"Urriés",1.01,37.27
"Used",3.17,85.29
"Valdehorna",3.77,7.95
"Val de San MartÃ­n",2.49,25.66
"Valmadrid",2.21,50.57
"Valpalmas",3.56,39.79
"Velilla de Ebro",3.59,59.79
"Velilla de Jiloca",9,10
"La VilueÃ±a",8.94,8.61
"Villadoz",5.12,17.18
"Villafeliche",7.72,22
"Villalba de Perejil",7.42,13.33
"Villalengua",7.94,40.16
"Villanueva de Jiloca",0.6,75.99
"Villanueva de Huerva",6.09,75.99
"Villar de Los Navarros",2.08,49
"Villarroya de La Sierra",5.12,91
"Villarroya del Campo",0.74,91
"Vistabella",2.24,21.82
"Biel",1.07,130.73
"Marracos",5.08,16.92
