Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22020 Alfántega,43 años,2017,2
Total,22020 Alfántega,44 años,2017,1
Total,22020 Alfántega,45 años,2017,1
Total,22020 Alfántega,46 años,2017,2
Total,22020 Alfántega,47 años,2017,2
Total,22020 Alfántega,48 años,2017,1
Total,22020 Alfántega,49 años,2017,1
Total,22020 Alfántega,50 años,2017,4
Total,22020 Alfántega,51 años,2017,2
Total,22020 Alfántega,52 años,2017,1
Total,22020 Alfántega,53 años,2017,1
Total,22020 Alfántega,54 años,2017,4
Total,22020 Alfántega,55 años,2017,1
Total,22020 Alfántega,56 años,2017,2
Total,22020 Alfántega,57 años,2017,0
Total,22020 Alfántega,58 años,2017,2
Total,22020 Alfántega,59 años,2017,2
Total,22020 Alfántega,60 años,2017,1
Total,22020 Alfántega,61 años,2017,5
Total,22020 Alfántega,62 años,2017,3
Total,22020 Alfántega,63 años,2017,0
Total,22020 Alfántega,64 años,2017,1
Total,22020 Alfántega,65 años,2017,0
Total,22021 Almudévar,41 años,2017,33
Total,22021 Almudévar,42 años,2017,34
Total,22021 Almudévar,43 años,2017,33
Total,22021 Almudévar,44 años,2017,31
Total,22021 Almudévar,45 años,2017,52
Total,22021 Almudévar,46 años,2017,41
Total,22021 Almudévar,47 años,2017,39
Total,22021 Almudévar,48 años,2017,32
Total,22021 Almudévar,49 años,2017,22
Total,22021 Almudévar,50 años,2017,36
Total,22021 Almudévar,51 años,2017,44
Total,22021 Almudévar,52 años,2017,38
Total,22021 Almudévar,53 años,2017,24
Total,22021 Almudévar,54 años,2017,34
Total,22021 Almudévar,55 años,2017,32
Total,22021 Almudévar,56 años,2017,35
Total,22021 Almudévar,57 años,2017,25
Total,22021 Almudévar,58 años,2017,34
Total,22021 Almudévar,59 años,2017,33
Total,22021 Almudévar,60 años,2017,29
Total,22021 Almudévar,61 años,2017,20
Total,22021 Almudévar,62 años,2017,25
Total,22021 Almudévar,63 años,2017,22
Total,22021 Almudévar,64 años,2017,28
Total,22021 Almudévar,65 años,2017,23
Total,22022 Almunia de San Juan,41 años,2017,10
Total,22022 Almunia de San Juan,42 años,2017,11
Total,22022 Almunia de San Juan,43 años,2017,6
Total,22022 Almunia de San Juan,44 años,2017,8
Total,22022 Almunia de San Juan,45 años,2017,9
Total,22022 Almunia de San Juan,46 años,2017,15
Total,22022 Almunia de San Juan,47 años,2017,9
Total,22022 Almunia de San Juan,48 años,2017,9
Total,22022 Almunia de San Juan,49 años,2017,15
Total,22022 Almunia de San Juan,50 años,2017,14
Total,22022 Almunia de San Juan,51 años,2017,6
Total,22022 Almunia de San Juan,52 años,2017,11
Total,22022 Almunia de San Juan,53 años,2017,10
Total,22022 Almunia de San Juan,54 años,2017,7
Total,22022 Almunia de San Juan,55 años,2017,10
Total,22022 Almunia de San Juan,56 años,2017,7
Total,22022 Almunia de San Juan,57 años,2017,6
Total,22022 Almunia de San Juan,58 años,2017,12
Total,22022 Almunia de San Juan,59 años,2017,9
Total,22022 Almunia de San Juan,60 años,2017,5
Total,22022 Almunia de San Juan,61 años,2017,4
